Nem Lula nem o partido ainda encontraram um discurso para se diferenciar.	Nem Lula nem o partido ainda encontraram um discurso para se diferenciar .	expl
Ciro não quis confirmar se a TR (Taxa Referencial) deixará de corrigir esses financiamentos.	Ciro não quis confirmar se a TR ( Taxa Referencial ) deixará de corrigir esses financiamentos .	mark
Os jovens têm se encontrado em Atalaia, principalmente entre quarta-feira e domingo, quando são realizados jogos de voleibol.	Os jovens têm se encontrado em Atalaia , principalmente entre quarta-feira e domingo , quando são realizados jogos de voleibol .	expl
No clima de sinistrose, as fragilidades do PT não ficaram tão visíveis à opinião pública: a dificuldade de se fazerem alianças capazes de sustentar Lula quando virasse presidente; os aloprados que conquistaram posições estratégicas no partido; a falta de generalizada convicção sobre o valor da democracia.	Em o clima de sinistrose , as fragilidades de o PT não ficaram tão visíveis a a opinião pública : a dificuldade de se fazerem alianças capazes de sustentar Lula quando virasse presidente ; os aloprados que conquistaram posições estratégicas em o partido ; a falta de generalizada convicção sobre o valor de a democracia .	nsubj
Além disso, tem que se alterar o aparato jurídico para favorecer ações de negociação.	Além de isso , tem que se alterar o aparato jurídico para favorecer ações de negociação .	nsubj
Só assim se evitará a estratificação da legislação, permitindo que o sistema acompanhe de maneira dinâmica as transformações na economia.	Só assim se evitará a estratificação de a legislação , permitindo que o sistema acompanhe de maneira dinâmica as transformações em a economia .	nsubj
A legislação prevê multa de 300% sobre o valor da venda para quem se recusar a emitir a nota.	A legislação prevê multa de 300 % sobre o valor de a venda para quem se recusar a emitir a nota .	expl
Simplesmente tornara-se impossível, por razões tecnológicas, comerciais e financeiras, estimular o desenvolvimento com base na substituição de importações.	Simplesmente tornara se impossível , por razões tecnológicas , comerciais e financeiras , estimular o desenvolvimento com base em a substituição de importações .	expl
Tal política convertera-se, com o avanço da globalização econômica, em sinônimo de proteção ao atraso, ao desperdício e à ineficiência.	Tal política convertera se , com o avanço de a globalização econômica , em sinônimo de proteção a o atraso , a o desperdício e a a ineficiência .	expl
De um lado reforça a estabilização, pois qualquer eventual aumento irresponsável de preços depara-se agora mais rapidamente com a concorrência de similares importados; de outro, ajuda a aliviar a supervalorização do real, pois quanto mais importações houver, maior será a procura por dólares.	De um lado reforça a estabilização , pois qualquer eventual aumento irresponsável de preços depara se agora mais rapidamente com a concorrência de similares importados ; de outro , ajuda a aliviar a supervalorização de o real , pois quanto mais importações houver , maior será a procura por dólares .	expl
Esse palco, além de revelar inúmeros talentos que depois se refugiaram na Europa, como Sonia Motta, serviu para Marilena inaugurar a fase mais fértil de sua carreira.	Esse palco , além de revelar inúmeros talentos que depois se refugiaram em a Europa , como Sonia Motta , serviu para Marilena inaugurar a fase mais fértil de sua carreira .	expl
Além do zagueiro Grun e do centroavante Weber, o lateral-esquerdo Vital Borkelmans encontra-se também com um cartão amarelo e pode ficar de fora hoje.	Além de o zagueiro Grun e de o centroavante Weber , o lateral-esquerdo Vital Borkelmans encontra se também com um cartão amarelo e pode ficar de fora hoje .	expl
Eles se intitulavam filiais da MIT Dealing Management Inc., dos Estados Unidos.	Eles se intitulavam filiais de a MIT Dealing Management Inc. , de os Estados Unidos .	expl
Tem que se pensar, para o Brasil, em uma empresa com modelo acionário flexível, que permita incorporar, em uma única marca, os esforços individuais desses criadores e dispor da sinergia necessária para investir no mercado internacional.	Tem que se pensar , para o Brasil , em uma empresa com modelo acionário flexível , que permita incorporar , em uma única marca , os esforços individuais de esses criadores e dispor de a sinergia necessária para investir em o mercado internacional .	nsubj
Se sentir que há um desejo coletivo, ele vai encaminhar as emendas constitucionais, disse Luiz Henrique após uma hora de conversa com Itamar, ontem, no Planalto.	Se sentir que há um desejo coletivo , ele vai encaminhar as emendas constitucionais , disse Luiz Henrique após uma hora de conversa com Itamar , ontem , em o Planalto .	mark
Não sei se fui claro: seria mais fácil um pinguim cruzar três Saaras do que FHC comer carne de bode espremido a um magote de sertanejos suados.	Não sei se fui claro : seria mais fácil um pinguim cruzar três Saaras de o que FHC comer carne de bode espremido a um magote de sertanejos suados .	mark
O Sindicato dos Metalúrgicos do Rio e do Grande Rio (data-base em outubro) se reúne hoje com representantes da Firjan (federação das indústrias do Rio) pela primeira vez desde o início da greve da categoria, na terça-feira.	O Sindicato de os Metalúrgicos de o Rio e de o Grande Rio ( data-base em outubro ) se reúne hoje com representantes de a Firjan ( federação de as indústrias de o Rio ) por a primeira vez desde o início de a greve de a categoria , em a terça-feira .	expl
Chiles, que pertence ao Partido Democrata e ao mesmo grupo neoconservador que ajudou Bill Clinton a chegar à Casa Branca, vai tentar se reeleger em novembro deste ano.	Chiles , que pertence a o Partido Democrata e a o mesmo grupo neoconservador que ajudou Bill Clinton a chegar a a Casa Branca , vai tentar se reeleger em novembro de este ano .	expl
O governo se comprometeu a não garfar a poupança, nas palavras do presidente do BC.	O governo se comprometeu a não garfar a poupança , em as palavras de o presidente de o BC.	expl
O advogado Mariano Gonçalves Neto, autor da ação popular que se arrasta há 12 anos, acusa os ex-ministros de aprovarem uma superavaliação dos terrenos entregues pelo grupo Delfin como pagamento de uma dívida que, em 1982, chegava a Cr 70 milhões.	O advogado Mariano Gonçalves Neto , autor de a ação popular que se arrasta há 12 anos , acusa os ex-ministros de aprovarem uma superavaliação de os terrenos entregues por o grupo Delfin como pagamento de uma dívida que , em 1982 , chegava a Cr 70 milhões .	expl
O ex-ministro da Fazenda Ernane Galvêas (governo Figueiredo) disse que sua participação no episódio limitou-se a um de acordo no processo que teria vindo pronto do Banco Nacional de Habitação, subordinado na época ao Ministério do Interior.	O ex-ministro de a Fazenda Ernane Galvêas ( governo Figueiredo ) disse que sua participação em o episódio limitou se a um de acordo em o processo que teria vindo pronto de o Banco Nacional de Habitação , subordinado em a época a o Ministério de o Interior .	expl
Terminado o Mundial, todas as atenções das seleções já se voltam para a Olimpíada de Atlanta.	Terminado o Mundial , todas as atenções de as seleções já se voltam para a Olimpíada de Atlanta .	expl
Para isso, a comissão técnica não se cansa de estudar os outros times.	Para isso , a comissão técnica não se cansa de estudar os outros times .	expl
Para se ter uma idéia, no Brasil a melhor marca é de Hilma, com 3,12m.	Para se ter uma idéia , em o Brasil a melhor marca é de Hilma , com 3,12 m .	nsubj
Folha Mas no momento em que a nova moeda for criada, se os preços forem convertidos no pico, não será necessário um aperto monetário, uma recessão temporária?	Folha Mas em o momento em que a nova moeda for criada , se os preços forem convertidos em o pico , não será necessário um aperto monetário , uma recessão temporária ?	mark
Para tentar se recuperar do jet lag e da correria da exposição do marido no Yerba Buena, Regina Casé fez ontem saída pela tangente.	Para tentar se recuperar de o jet lag e de a correria de a exposição de o marido em o Yerba Buena , Regina Casé fez ontem saída por a tangente .	expl
Queremos saber se o bicho de São Paulo e o do Rio são ramificações de uma grande organização criminosa.	Queremos saber se o bicho de São Paulo e o de o Rio são ramificações de uma grande organização criminosa .	mark
Por que não ousar ainda que ingenuamente esperar que as coisas desta vez se ajeitem?	Por que não ousar ainda que ingenuamente esperar que as coisas de esta vez se ajeitem ?	expl
Para quem vai fazer a pesquisa no computador a separação de dados não faz nenhuma diferença: tudo funciona como se fizesse parte de um só arquivo.	Para quem vai fazer a pesquisa em o computador a separação de dados não faz nenhuma diferença : tudo funciona como se fizesse parte de um só arquivo .	fixed
Nós não vamos acreditar que um povo tão culto como o da Guanabara possa ter problemas como andam dizendo por aí, afirmou, referindo-se à população do antigo Estado da Guanabara, que desapareceu na fusão com o Estado do Rio de Janeiro.	Nós não vamos acreditar que um povo tão culto como o de a Guanabara possa ter problemas como andam dizendo por aí , afirmou , referindo se a a população de o antigo Estado de a Guanabara , que desapareceu em a fusão com o Estado de o Rio de Janeiro .	expl
De todo modo, uma sólida e longa parceria se configurava, alternando comédias e dramas cuja qualidade cinematográfica variava infinitamente mais que as virtudes de suas trilhas sonoras.	De todo modo , uma sólida e longa parceria se configurava , alternando comédias e dramas cuja qualidade cinematográfica variava infinitamente mais que as virtudes de suas trilhas sonoras .	expl
O baiano Dias Gomes, 70, está se preparando para ressuscitar um clássico da teledramaturgia brasileira.	O baiano Dias Gomes , 70 , está se preparando para ressuscitar um clássico de a teledramaturgia brasileira .	expl
À primeira vista, sim, mas é aí que se chega ao verdadeiro nó da questão.	À primeira vista , sim , mas é aí que se chega a o verdadeiro nó de a questão .	nsubj
De que adiantaria os jornais do dia seguinte omitirem os nomes, se eles já haviam sido arrastados à lama por um noticiário que atinge cerca de 60 milhões de pessoas, certamente mais do que a tiragem conjunta de todos os jornais brasileiros?	De que adiantaria os jornais de o dia seguinte omitirem os nomes , se eles já haviam sido arrastados a a lama por um noticiário que atinge cerca de 60 milhões de pessoas , certamente mais de o que a tiragem conjunta de todos os jornais brasileiros ?	mark
O time pode empatar a segunda partida para se classificar.	O time pode empatar a segunda partida para se classificar .	expl
Se eles não substituírem o pessoal, vão estar praticando desobediência judicial, disse Fortes.	Se eles não substituírem o pessoal , vão estar praticando desobediência judicial , disse Fortes .	mark
Nenhum eleitor evangélico deve se sentir culpado por ter opinião diferente de seu pastor ou líder espiritual, diz a cartilha.	Nenhum eleitor evangélico deve se sentir culpado por ter opinião diferente de seu pastor ou líder espiritual , diz a cartilha .	expl
Analisado isoladamente, é um imposto democrático e que, se levado à sua consequência lógica, o Imposto Único, poderia consumar a revolução tributária que o país deseja e precisa.	Analisado isoladamente , é um imposto democrático e que , se levado a a sua consequência lógica , o Imposto Único , poderia consumar a revolução tributária que o país deseja e precisa .	mark
Se eu fosse você, passava a andar de táxi especial e apresentava a conta à concessionária.	Se eu fosse você , passava a andar de táxi especial e apresentava a conta a a concessionária .	mark
E jamais chegará a isto se não tiver a total dedicação de alguém como Ricupero, um excepcional cadre, que em pouco tempo convenceu os brasileiros da sua inteligência e competência na vida pública.	E jamais chegará a isto se não tiver a total dedicação de alguém como Ricupero , um excepcional cadre , que em pouco tempo convenceu os brasileiros de a sua inteligência e competência em a vida pública .	mark
Ele sequestrou e violentou três meninos com a intenção de lhes transmitir o vírus da Aids de que se sabia portador.	Ele sequestrou e violentou três meninos com a intenção de lhes transmitir o vírus de a Aids de que se sabia portador .	expl
O presidente disse que pediu ao ministro das Minas e Energia, Alexis Stepanenko, que cheque também as estatais ligadas a ele para saber se também houve desobediência.	O presidente disse que pediu a o ministro de as Minas e Energia , Alexis Stepanenko , que cheque também as estatais ligadas a ele para saber se também houve desobediência .	mark
Em 1962, publica Capitalismo e Escravidão no Brasil Meridional, primeira obra de sua autoria a se tornar referência nas ciências sociais do país.	Em 1962 , publica Capitalismo e Escravidão em o Brasil Meridional , primeira obra de sua autoria a se tornar referência em as ciências sociais de o país .	expl
Deve-se usar pedras (pedra goiás e ardósias), madeiras não-brilhantes (que riscam facilmente) e cerâmicas não-esmaltadas.	Deve se usar pedras ( pedra goiás e ardósias ) , madeiras não-brilhantes ( que riscam facilmente ) e cerâmicas não-esmaltadas .	nsubj
Por enquanto, se dedica à preparação física.	Por enquanto , se dedica a a preparação física .	expl
Aristides está esperando a publicação do texto do FSE aprovado pelo Congresso para concluir se a desvinculação dessas verbas atinge ou não direitos individuais.	Aristides está esperando a publicação de o texto de o FSE aprovado por o Congresso para concluir se a desvinculação de essas verbas atinge ou não direitos individuais .	mark
Se abordo este tema aqui não é para arriscar-me na análise política, coisa que outros farão melhor do que eu.	Se abordo este tema aqui não é para arriscar me em a análise política , coisa que outros farão melhor de o que eu .	mark
Preocupado com a facilidade de comunicação de seu adversário, Francisco Rossi, Mário Covas acatou as recomendações de assessores do presidente eleito, Fernando Henrique Cardoso, e se submeteu às técnicas de marketing.	Preocupado com a facilidade de comunicação de seu adversário , Francisco Rossi , Mário Covas acatou as recomendações de assessores de o presidente eleito , Fernando Henrique Cardoso , e se submeteu a as técnicas de marketing .	expl
Entregar-se, com a garantia de redução da pena, seria um bom negócio, disse Maciel.	Entregar se , com a garantia de redução de a pena , seria um bom negócio , disse Maciel .	expl
Elas se algemaram entre si e nos móveis do escritório em protesto contra a utilização de peles animais em criações do estilista.	Elas se algemaram entre si e em os móveis de o escritório em protesto contra a utilização de peles animais em criações de o estilista .	expl
Na ocasião, Fidel Castro permitiu a saída de milhares de pessoas insatisfeitas com seu regime e abriu um novo espaço para se manter no poder.	Em a ocasião , Fidel Castro permitiu a saída de milhares de pessoas insatisfeitas com seu regime e abriu um novo espaço para se manter em o poder .	expl
Profissionais com longa experiência em cargos gerenciais e administrativos devem se preocupar, ao fazer o currículo, em mostrar a essência da carreira, resumindo suas conquistas e realizações.	Profissionais com longa experiência em cargos gerenciais e administrativos devem se preocupar , a o fazer o currículo , em mostrar a essência de a carreira , resumindo suas conquistas e realizações .	expl
Alguns até se parecem com os meus.	Alguns até se parecem com os meus .	expl
O próprio agredido informou à polícia de que não se tratava dos agressores.	O próprio agredido informou a a polícia de que não se tratava de os agressores .	expl
A princípio, a dúvida era sobre a necessidade de se jogar com dois volantes meias que também auxiliam na defesa, Dunga e Mauro Silva.	A princípio , a dúvida era sobre a necessidade de se jogar com dois volantes meias que também auxiliam em a defesa , Dunga e Mauro Silva .	nsubj
Segundo Arnaldo Leite, coordenador do Programa de Capacitação Gerencial do Sebrae (Serviço Brasileiro de Apoio às Micro e Pequenas Empresas), o programa se distingue de similares de outros Estados por ter aval prévio do Tribunal de Contas.	Segundo Arnaldo Leite , coordenador de o Programa de Capacitação Gerencial de o Sebrae ( Serviço Brasileiro de Apoio a as Micro e Pequenas Empresas ) , o programa se distingue de similares de outros Estados por ter aval prévio de o Tribunal de Contas .	expl
Se o inquilino conseguir um bom desconto na hora da mudança do aluguel de cruzeiros reais para URV é negócio para ele, diz.	Se o inquilino conseguir um bom desconto em a hora de a mudança de o aluguel de cruzeiros reais para URV é negócio para ele , diz .	mark
O tricolor, após tantas decepções na temporada, vai às finais da Conmebol, caça-níqueis tão inexpressivo que o próprio São Paulo inscreveu apenas jogadores jovens, que se denominaram Leões, ao invés do tradicional Expressinho.	O tricolor , após tantas decepções em a temporada , vai a as finais de a Conmebol , caça-níqueis tão inexpressivo que o próprio São Paulo inscreveu apenas jogadores jovens , que se denominaram Leões , a o invés de o tradicional Expressinho .	obj
Em respeito à história, diga-se que o mal que a UDN fez ao país não decorreu de seu moralismo, mas de sua amoralidade.	Em respeito a a história , diga se que o mal que a UDN fez a o país não decorreu de seu moralismo , mas de sua amoralidade .	nsubj
O mal residia, enfim, no fato de que a política real da UDN se traduzia no que conspirava entre quatro paredes, sem uma antena parabólica que lhe pusesse termo e sem uma imprensa independente que revelasse, livre de paixões partidárias, sua vocação para renunciar ao Estado de Direito ao toque da primeira corneta.	O mal residia , enfim , em o fato de que a política real de a UDN se traduzia em o que conspirava entre quatro paredes , sem uma antena parabólica que lhe pusesse termo e sem uma imprensa independente que revelasse , livre de paixões partidárias , sua vocação para renunciar a o Estado de Direito a o toque de a primeira corneta .	expl
Mas como vou saber se meu amor é grande o suficiente?	Mas como vou saber se meu amor é grande o suficiente ?	mark
Se você tentar medi-lo, estará enxergando apenas seu reflexo, como a da lua em um lago; não estará percorrendo seu caminho.	Se você tentar medi lo , estará enxergando apenas seu reflexo , como a de a lua em um lago ; não estará percorrendo seu caminho .	mark
Os agentes políticos, sociais e econômicos também têm de se reciclar, pois sua ação sobre o Legislativo paulistano só ocorre em função de interesses específicos.	Os agentes políticos , sociais e econômicos também têm de se reciclar , pois sua ação sobre o Legislativo paulistano só ocorre em função de interesses específicos .	expl
Trata-se do Eagle uma reedição com motor Toyota e chassis Lola do legendário carro feito por Dan Gurney.	Trata se de o Eagle uma reedição com motor Toyota e chassis Lola de o legendário carro feito por Dan Gurney .	expl
Ontem, ela foi ao aeroporto e se disse contente por tê-lo de volta ao colo.	Ontem , ela foi a o aeroporto e se disse contente por tê lo de volta a o colo .	expl
Folha O Banco Central está se espelhando na experiência de algum outro país, em operação semelhante?	Folha O Banco Central está se espelhando em a experiência de algum outro país , em operação semelhante ?	expl
Gazeta Filho confirmou que os dormentes se deterioraram muito antes do previsto.	Gazeta Filho confirmou que os dormentes se deterioraram muito antes de o previsto .	expl
Foi possível cumprir os 13,4 quilômetros do percurso em uma velocidade média de 40 km/h, incluindo-se a espera nos semáforos.	Foi possível cumprir os 13,4 quilômetros de o percurso em uma velocidade média de 40 km/h , incluindo se a espera em os semáforos .	nsubj
Embora ainda não possa ser definitivamente descartada, a hipótese da candidatura do ex-presidente José Sarney encontra-se pelo menos momentaneamente bastante afastada, abrindo espaço para que a campanha comece a deslanchar com base no atual grid de largada.	Embora ainda não possa ser definitivamente descartada , a hipótese de a candidatura de o ex-presidente José Sarney encontra se por o menos momentaneamente bastante afastada , abrindo espaço para que a campanha comece a deslanchar com base em o atual grid de largada .	expl
O cálculo baseia-se na comparação dos preços brasileiros com o americano.	O cálculo baseia se em a comparação de os preços brasileiros com o americano .	expl
Para se ter uma idéia da importância da InterNet, a Casa Branca está conectada a essa rede, disponibilizando publicações e documentos para qualquer pessoa do mundo.	Para se ter uma idéia de a importância de a InterNet , a Casa Branca está conectada a essa rede , disponibilizando publicações e documentos para qualquer pessoa de o mundo .	nsubj
Vera Lucia Vassouras, que é negra e se diz militante do PDT, sustenta que os autores do livro em nenhum momento afirmaram que os negros são geneticamente inferiores ao brancos.	Vera Lucia Vassouras , que é negra e se diz militante de o PDT , sustenta que os autores de o livro em nenhum momento afirmaram que os negros são geneticamente inferiores a o brancos .	expl
Mas a magnitude da diferença entre negros e brancos nos desvios padrões não se reduz.	Mas a magnitude de a diferença entre negros e brancos em os desvios padrões não se reduz .	expl
Uma blusa preta pode ser usada com um sutiã branco se a saia for branca, explica.	Uma blusa preta pode ser usada com um sutiã branco se a saia for branca , explica .	mark
Com a mudança, o metrô de São Paulo vai funcionar hoje uma hora a mais, como se tivesse duas meias-noites.	Com a mudança , o metrô de São Paulo vai funcionar hoje uma hora a mais , como se tivesse duas meias-noites .	fixed
Aqui, neste espaço onde se reverencia sua memória, eu a recordo amiga de toda uma vida, nossas longas vidas vividas na intensidade da paixão: com ela aprendi a bondade e o povo.	Aqui , em este espaço onde se reverencia sua memória , eu a recordo amiga de toda uma vida , nossas longas vidas vividas em a intensidade de a paixão : com ela aprendi a bondade e o povo .	expl
Sommeliers paulistas se superam em evento	Sommeliers paulistas se superam em evento	expl
Com a desclassificação, Jack Girafa não teve o comportamento pacato que se espera da gigante das savanas.	Com a desclassificação , Jack Girafa não teve o comportamento pacato que se espera de a gigante de as savanas .	nsubj
Acrescenta que o cinquentenário instituto que, a exemplo da Nielsen, tem atuação internacional, se dispõe a oferecer eventuais relatórios diferenciados do concorrente.	Acrescenta que o cinquentenário instituto que , a exemplo de a Nielsen , tem atuação internacional , se dispõe a oferecer eventuais relatórios diferenciados de o concorrente .	expl
Parte do crescimento de Fernando Henrique na última pesquisa Datafolha deve-se à evolução do tucano entre os eleitores que declaram simpatia pelo PMDB de Orestes Quércia e pelo PPR de Esperidião Amin.	Parte de o crescimento de Fernando Henrique em a última pesquisa Datafolha deve se a a evolução de o tucano entre os eleitores que declaram simpatia por o PMDB de Orestes Quércia e por o PPR de Esperidião Amin .	expl
Pelo preço de CR$ 6.200, os clientes poderão se servir à vontade do ravióli com recheio de salmão.	Por o preço de CR$ 6.200 , os clientes poderão se servir a a vontade de o ravióli com recheio de salmão .	expl
Você se acha louca?	Você se acha louca ?	obj
A Suécia não se arriscou no ataque em nenhum momento da partida	A Suécia não se arriscou em o ataque em nenhum momento de a partida	obj
Se separar as opiniões conforme a característica do entrevistado, terá verificado igualmente que todos os empresários ouvidos são a favor.	Se separar as opiniões conforme a característica de o entrevistado , terá verificado igualmente que todos os empresários ouvidos são a favor .	mark
Ainda em setembro, no final do mês, encerram-se as inscrições nos colégios Santa Cruz (para a 1ª série do 1º grau) e Santo Américo.	Ainda em setembro , em o final de o mês , encerram se as inscrições em os colégios Santa Cruz ( para a 1ª série de o 1º grau ) e Santo Américo .	expl
