,1,0
"Num sector como o dos combustíveis, em que as margens de comercialização são esmagadas e sujeitas a preços fixados administrativamente, uma taxa fixa poderá, na opinião de Pais Antunes, contribuir para que as companhias se encostem sistematicamente aos preços máximos.",expl,1
"Numa reunião com comerciantes e moradores da vila velha, realizada terça-feira à tarde, os vereadores da CDU refutaram as acusações feitas pela presidente do município de estarem a atrasar obras importantes, garantindo não estar contra ou a favor da construção do silo na Volta do Duche que se encontra em banho-maria --, mas fizeram depender uma posição favorável da realização de um estudo mais vasto para toda a vila que prove a necessidade daquele investimento.",expl,1
"Nunca dei uma lição na vida, mas tenho pena, porque penso que se aprende muito a ensinar.",nsubj,1
"Nunca mais se poderá falar, no futuro, da Poppea de Harnoncourt.",nsubj,1
Nunca vi um partido render-se tão rápida e incondicionalmente como o PT está fazendo.,expl,1
"Não falei nada, mas visualizei a Sra. Oke, sentada no salão amarelo, o mesmo salão onde nenhum Oke de Okehurst exceto ela ousava permanecer sozinho, envergando o vestido de sua antepassada e confrontando-se, por assim dizer, com aquela coisa vaga, plangente, que parecia permear o aposento ... aquela vaga presença assim me parecia do galante poeta assassinado.",expl,1
"Não foi verdade, por exemplo, que os próprios livreiros se manifestaram contra a realização de concertos e debates, considerando que isso era desmobilizador dos potenciais compradores?",expl,1
"Não fosse a eleição, d. Luciano Mendes teria de negar Cristo três vezes para que nosso senador empuleirasse no lombo de um cavalo, envergando aquele chapéu de cangaceiro.",cop,1
"Não havia cruzamento, não se tratou de uma tentativa de ultrapassagem, nem sequer de uma travagem brusca.",expl,1
"Não há que sentir revolta, desânimo nem tristeza, devendo procurar-se ver sempre o outro lado da moeda.",nsubj,1
"Não podemos permitir que a contratação colectiva continue bloqueada, que o desemprego continue a aumentar, que a segurança social, a saúde e a educação continuem a degradar-se.",expl,1
"Não podíamos descer, e eles não se atreviam a subir.",expl,1
"Não possui hoje Vendas Novas praça de toiros, razão por que a corrida aconteceu numa desmontável, mas António Morais, no seu livro A Praça de Toiros do Campo Pequeno, ao referir-se às outras praças do país, diz que José Valério construiu uma praça em Vendas Novas em 1862, tendo nela havido festas de toiros até 1875, ano em que soldados da Escola Prática de Artilharia, por descuido, provocaram o seu incêndio.",obj,1
"Num país com mais de sete mil ilhas e onde os golpes de Estado se foram sucedendo quase mensalmente nos anos 80 e onde a guerrilha fundamentalista islâmica avança na zona meridional do arquipélago, os incidentes de ontem permitiram à comissão de eleições dizer que o dia foi relativamente calmo.",obj,1
"Não se construiu um mundo diferente para cada um dos seus temas, em estúdio.",nsubj,1
Não se estará a comportar o Governo como aqueles babados paizinhos que estragam os filhos com guloseimas?,expl,1
"Não se fala na cobrança dos árbitros que apitam maldosamente, para prejudicar uma equipe.",nsubj,1
"Não se trata simplesmente da questão da escravidão certamente ter tido efeitos duradouros sobre a cultura negra, nem mesmo dela ter exercido um amplo efeito negativo sobre a auto-confiança e auto-estima dos negros, mas mais especificamente da experiência da escravatura ter desvirtuado e tolhido a evolução do algoritmo etnocêntrico que os negros americanos teriam desenvolvido no decorrer normal dos acontecimentos.",expl,1
"Não sei se ele vai querer meu apoio, mas farei tudo que puder por ele.",mark,1
Não sei se fui claro: seria mais fácil um pinguim cruzar três Saaras do que FHC comer carne de bode espremido a um magote de sertanejos suados.,mark,1
"Não só por aquilo que se viu ontem nas fortalezas tradicionalmente inexpugnáveis do PCP, mas também pela receptividade que a campanha de Torres Couto está a encontrar e, sobretudo, pelo que as sondagens começam a indicar.",nsubj,1
"Não é a primeira vez, e espero não ser a última, que Fernando Henrique e esta coluna se atritam pelo mesmo motivo.",expl,1
"Não é de admirar que Hollywood se interesse por este mercado, mesmo após o relativo insucesso de Super Mario Bros.",expl,1
"Não é de estranhar, porque entre os comensais reunidos no dia 29 de Agosto em casa do romancista norte-americano William Styron, prémio Pulitzer, em Marthas Vineyard, uma ilha ao sul de Boston, Massachusetts, não se encontrava apenas o Presidente dos Estados Unidos, mas sobretudo esses dois grandes obcecados dos livros que são o Nobel colombiano Gabriel García Márquez e o mexicano Carlos Fuentes, último prémio Príncipe das Astúrias de Literatura.",expl,1
"Não é de literatura do que aqui se trata, embora a história, densa e trágica, nos envolva desde a primeira página.",nsubj,1
Não é porque todos os condutores fiquem subitamente atacados de uma febre Fittipaldi quando se sentem como que rodeados por algodão doce.,expl,1
"Num país em que ainda segundo estatísticas das Nações Unidas mais de metade da população tem menos de 15 anos, foi estranho para muitos observadores que o número de eleitores potenciais se estimasse em 5,8 milhões, para uma população total calculada em dez.",expl,1
"Notamos ainda que, quando um passageiro brasileiro se inscreve num programa de milhagem de uma companhia aérea internacional que serve o Brasil, passados 30 dias, recebe a proposta da Iapa.",expl,1
"O jogo chegou a estar complicado para a equipa de Paulo Autuori, essencialmente porque o Lokomotiv marcou muito cedo 8 e os jogadores portugueses não conseguiam adaptar-se ao estado do relvado.",obj,1
"No mercado, estima-se que as dívidas do grupo superam os nove bilhões de marcos.",nsubj,1
"No Brasil, coisa esquisita, já se negociou CDB de seis meses uma eternidade, hoje em dia.",nsubj,1
"No PPR, a discussão será sobre a política de alianças e se ela inclui o PSDB, além dos novos candidatos do partido a presidente.",mark,1
"No campo do Lyon, o Mónaco não foi além de um empate sem golos, o que impediu a equipa de Rui Barros de se isolar no primeiro lugar.",expl,1
"No cinema, essencialmente o que se apanha é o momento de qualquer coisa.",nsubj,1
"No clima de sinistrose, as fragilidades do PT não ficaram tão visíveis à opinião pública: a dificuldade de se fazerem alianças capazes de sustentar Lula quando virasse presidente; os aloprados que conquistaram posições estratégicas no partido; a falta de generalizada convicção sobre o valor da democracia.",nsubj,1
"No entanto, no Ministério da Defesa não há grandes preocupações quanto à funcionalidade da gestão se houver vacatura com a provável saída de Nogueira.",mark,1
"No essencial, tratava-se da adjudicação de serviços de promoção de imagem e de obras sem concurso público nem visto do tribunal de contas ver PÚBLICO de 21 de Abril.",expl,1
"No filme, uma garota Alex é colocada por engano no mesmo quarto de dois rapazes e se apaixona por Eddy.",expl,1
"No fim, obtém-se uma série de televisão.",expl,1
No final é feita uma auditoria para ver se a auto-avaliação feita pela fábrica corresponde à realidade.,mark,1
"No início desta semana, no entanto, um diplomata indonésio admitiu a possibilidade da visita começar em finais de Outubro, o que, a confirmar-se, apanhará a Comissão Eventual praticamente no grau zero da preparação da visita.",expl,1
"No lado das subidas, destaca-se ainda o comportamento do Banco Totta & Açores que, ao contrário dos restantes títulos do sector bancário, encerrou a ganhar 3,41 por cento.",expl,1
"No momento em que regressava a casa, o indivíduo lançou-se sobre ela, tapou-lhe a boca, agrediu-a e atirou-a ao chão.",expl,1
"Nos últimos meses ainda conseguiu escapar-se e ver Eu, Feuerbach, pelo Cendrev, em Évora, e A Ópera do Malandro, pelo Seiva Troupe, no Porto.",obj,1
"No pior dos cenários, o país volta a abster-se e a regionalização tem assegurados mais 25 anos de permanência no fundo falso da gaveta da democracia.",expl,1
"No plano dos costumes, a reviravolta se apresenta sob aspecto viral, epidêmico.",expl,1
"No que concerne à Dívida Pública corrente, realizaram-se três leilões de Bilhetes do Tesouro.",expl,1
"No que se refere às regras do jogo, considera que o futebol deve continuar a ser futebol.",fixed,1
No quiosque vendem-se dessas revistas de viagens que agora proliferam e que perpetuam as fantasias sobre ilhas exóticas.,expl,1
"No relatório citam-se os elevados encargos sociais das empresas, a generosidade dos subsídios de desemprego, o muito elevado salário mínimo e as regras de protecção de emprego, consideradas muito rígidas, como factores desmotivadores da criação de postos de trabalho.",expl,1
"No segundo ficou a mais de dez metros do seu recorde nacional 63,70m com 53,60m, e só no derradeiro intento a qualificação só tem três se aproximou um pouco mais do que vale, com 56,02m, mas não chegou.",expl,1
"No âmbito do Ciclo Jovens Compositores, organizado pelo Acarte da Fundação Gulbenkian, pode escutar-se a obra ...Há Dois Ou..., de António de Sousa Dias.",nsubj,1
"No último parágrafo das seis longas páginas, conclui-se por uma visão convergente sobre a necessidade de reformar positivamente o sistema político no sentido de assegurar melhor democracia e melhor desenvolvimento, na concretização de uma alternativa política ao PSD e ao Governo.",nsubj,1
"Nono mês do calendário lunar islâmico, durante o qual mil milhões de pessoas se abstêm de comer, fumar, ouvir música ou de ter relações sexuais, o Ramadão é o mês sagrado muçulmano.",expl,1
"Nos EUA, o Museu da OEA Organização dos Estados Americanos já tem agendada uma exposição de Amélia, mas ela não sabe se instala lá suas Sete Ondas.",mark,1
"Nos veleiros, as opções não são tantas, sendo a principal novidade representada pelo Jeanneau 24, de 24 pés, que se pretende organizar em classe nacional para futuros campeonatos, além dos populares e práticos veleiros McGregor e dos conhecidos GibSea, barcos de cruzeiro seguros e confortáveis.",nsubj,1
"Nós não vamos acreditar que um povo tão culto como o da Guanabara possa ter problemas como andam dizendo por aí, afirmou, referindo-se à população do antigo Estado da Guanabara, que desapareceu na fusão com o Estado do Rio de Janeiro.",expl,1
"Nós, dentro de Espanha, sempre manifestámos que deveria haver interesse por Portugal, que sempre teve um certo receio, porque a história foi o que foi, comenta ao PÚBLICO Jordi Pujol, se temos uma identidade própria e não temos medo, muito menos os portugueses, que têm um Estado próprio.",mark,1
"O Comissário europeu para o audiovisual apelou anteontem a uma mudança de atitude da indústria europeia do sector, de modo a adaptar-se à globalização mundial das redes de distribuição.",expl,1
"O ex-governador do Tennessee Lamar Alexander será o seguinte a declarar-se, dias depois.",expl,1
"O citado desvio, pela escarpa do Observatório, aproxima-se dos acessos à Ponte do Freixo e à auto-estrada.",expl,1
O conselho fiscal entende que os acionistas não devem mais suportar investir dinheiro bom em companhia sem condições de se reerguer.,iobj,1
"O conselho foi ontem dado pelos técnicos da OCDE, no seu mais recente relatório sobre o estado da economia norte-americana, em que se avisa as autoridades do país a reduzirem os gastos com a Segurança Social com o objectivo de assegurar, a longo prazo, a saúde financeira federal.",nsubj,1
O cálculo baseia-se na comparação dos preços brasileiros com o americano.,expl,1
O defesa português Hélder estreou-se no campeonato espanhol e encontrou logo pela frente um seu velho conhecido: o ex-sportinguista Amunike.,obj,1
O delegado disse que têm se tornado frequentes os linchamentos na região.,expl,1
O desafio posto à organização da exposição é então levar os munícipes de uma cidade a apaixonarem-se perdidamente por um edifício ao ponto de saírem para a rua em sua defesa.,expl,1
"O destaque, sem dúvida, é o balé Bolshoi da Rússia, que há pelo menos cinco anos consecutivos se apresenta na cidade.",obj,1
O documento é pouco favorável aos republicanos que só na Páscoa se pronunciaram oficialmente sobre ele.,expl,1
"O dólar subiu para valores acima dos 1,41 marcos, aproximando-se cautelosamente dos 85 ienes e mostrando grande firmeza.",expl,1
"O escudo esteve bastante pressionado, devido sobretudo a vendas especulativas por parte de bancos estrangeiros, e as frequentes intervenções do Banco de Portugal apresentaram-se eficazes, quebrando a tendência de queda, por vezes acentuada, da divisa nacional.",obj,1
