,0
"Acrescenta que o cinquentenário instituto que, a exemplo da Nielsen, tem atuação internacional, se dispõe a oferecer eventuais relatórios diferenciados do concorrente.",expl
Parte do crescimento de Fernando Henrique na última pesquisa Datafolha deve-se à evolução do tucano entre os eleitores que declaram simpatia pelo PMDB de Orestes Quércia e pelo PPR de Esperidião Amin.,expl
"Pelo preço de CR$ 6.200, os clientes poderão se servir à vontade do ravióli com recheio de salmão.",expl
Você se acha louca?,obj
A Suécia não se arriscou no ataque em nenhum momento da partida,obj
"SÃO PAULO -- Se o leitor se deu ao trabalho de ler todas as repercussões sobre o real publicadas ontem pela Folha, terá verificado que, como sempre ocorre nessas ocasiões, há opiniões contrárias, a favor e mais ou menos.",expl
"Ainda em setembro, no final do mês, encerram-se as inscrições nos colégios Santa Cruz (para a 1ª série do 1º grau) e Santo Américo.",expl
"A modelo Monique Evans, um dos destaques do Carnaval carioca deste ano, vai submeter-se a uma tomografia computadorizada na próxima semana para verificar a origem de «um pontinho» que apareceu em seu rim.",expl
"Monique, 37, disse que descobriu a «marquinha, que não é pedra no rim» quando se separou do marido, em junho passado.",expl
"«Não sei se ele vai querer meu apoio, mas farei tudo que puder por ele.»",mark
June não respondeu se também estava apaixonada.,mark
Luis Oca a se suicida na França,expl
"O ciclista espanhol, 48, se suicidou em Caupenne d'Armagnac, no sul da França com um tiro.",expl
Wator se chocou com um companheiro de equipe.,expl
"No PPR, a discussão será sobre a política de alianças e se ela inclui o PSDB, além dos novos candidatos do partido a presidente.",mark
O ministro limitou-se a dizer que havia conversado por telefone com assessores do presidente Itamar Franco sobre a proposta de uma nova legislação contra abusos do poder econômico.,expl
A assessoria de imprensa da Secretaria de Vias Públicas disse ontem que a prefeitura só vai se manifestar depois que for notificada pela Justiça.,expl
Tem que se demonstrar através de contas e de raciocínios que o expurgo significará perda.,expl
"Como não se pretende o monopólio da verdade, apresento o raciocínio (e as contas) que fundamentam a tese de que não haverá perdas.",nsubj
Blatter disse que o Comitê não levou em consideração o fato do jogador ter se desculpado e comparecido ao hospital para visitar o norte-americano Tab Ramos.,obj
«Também não nos interessa se o jogador estava internado ou não.,mark
"Mas o resultado, surpreendentemente, foi o mesmo no que se refere à reconstituição do princípio da autoridade.",obj
Desculpe-se.,obj
"No Brasil, coisa esquisita, já se negociou CDB de seis meses uma eternidade, hoje em dia.",nsubj
"Dallari, após negociações com os laboratórios, candidamente anunciou que «para janeiro, não se pode fazer mais nada, mas em fevereiro os reajustes serão iguais à inflação».",nsubj
"Em março, esboça-se a mesma tendência.",expl
"Caio Gorentzvaig, cotista da Petroplastic, disse que o arresto cairá automaticamente quando seu pai, Boris, «se der por citado e oferecer bens imóveis à penhora».",expl
"O talento de Barros continua lá, apesar de Marilia Pêra se empenhar em tomar conta do filme com um histrionismo fora de lugar.",expl
"A restituição do IRPF poderá ser feita a terceiros, desde que: se de valor até 80 Ufir, mediante simples autorização por escrito do beneficiário, acompanhada de cédula de identidade e CPF do representante e do representado, para verificação das assinaturas; e se de valor acima de 80 Ufir só poderá ser paga a procurador (Fund.: instrução normativa DRF nº. 38/92).",mark
"Segundo Rosa, nutricionista e professora da PUC de Campinas, junto com os alimentos se «ingerem e digerem afetos».",expl
Nunca vi um partido render-se tão rápida e incondicionalmente como o PT está fazendo.,expl
"Multiplique isso por 15, some o valor do transporte e se tem US$ 400 mil.",nsubj
"Nos EUA, o Museu da OEA (Organização dos Estados Americanos) já tem agendada uma exposição de Amélia, mas ela não sabe se instala lá suas «Sete Ondas».",mark
Um Gol e um Voyage se chocaram.,expl
"O «kratos» não é do povo; é seu, se tanto, o ouvido, o olhar.",case
"Os discursos da frugalidade, da austeridade ficaram para as repúblicas gregas e romanas, aquelas que Montesquieu ainda celebrava, em meados do século 18, quando dizia que o regime republicano se caracteriza pela disposição de seus cidadãos a renunciar ao bem privado em favor do bem comum e por isso, acrescentava ele, trata-se de regime impossível na modernidade, na qual se busca a vantagem pessoal.",nsubj
"há mais de um ano, o México encontra-se numa situação de desequilíbrio potencial permanente no balanço de transações correntes e no orçamento fiscal, que foi compensado mais recentemente por um endividamento crescente do setor público nas praças financeiras internacionais, em particular na Bolsa de Nova York.",expl
Já em Ancara que se tornaria capital Kemal presidiu a grande Assembléia Nacional.,expl
Refúgios de pesca se abrem para o turismo,expl
"O otimismo de Van Himst se justifica, em parte, pela entrada do centroavante belgo-croata Josip Weber no time.",expl
"Em algumas cidades, onde os pais têm poder de decisão no sistema educacional, os projetos de novas escolas incorporam computadores, CD-ROM, modem e linhas telefônicas para permitir que os estudantes se comuniquem on line.",iobj
"Tome-se o caso de Ventersdorp, 200 km a oeste de Johannesburgo, uma das 14 cidades declaradas pelo governo «áreas de turbulência», estágio suave do estado de emergência.",nsubj
"Na loja de Nova York, o Compaq Aero está por US$ 996,97 (se chegar às 9h da manhã, ganha o cupom de desconto de US$ 100).",mark
"O modo de escapar disse é simples: aplica-se um reajuste de, digamos, 40% ; em seguida, avalia-se qual a inflação diária, digamos de 1,5% , e aí se aplica ao preço cheio um desconto decrescente.",nsubj
"Desta forma, para se proteger de uma reviravolta inoportuna dos índices econômicos, FHC e seus amigos do governo tiveram o cuidado de fixar um calendário vantajoso.",expl
"Segundo Nujud, as contas do Corinthians ainda não foram fechadas, para se saber se o clube teve lucro ou prejuízo.",mark
E os são-paulinos podem se conformar com o Zico.,expl
"Em se tratando do vídeo, pra mim é uma fortuna.",expl
Collor sai para jantar e se assusta com flashes,expl
"Embora não fosse o alvo, o ex-presidente assustou-se com os flashes.",expl
"Restaurante tem seu ponto forte no balcão de grelhados, que se sobrepõe aos prosaicos sushis e sashimis",expl
Mas se em muitas casas japonesas da cidade o sashimi e os sushis são os carros-chefes em outros se destacam por iguarias nem tão comuns.,expl
Trinta empresários argentinos e 25 brasileiros se reúnem na próxima sexta-feira em seminário da FGV para debater perspectivas do setor privado nos dois países com o Mercosul.,expl
"No filme, uma garota (Alex) é colocada por engano no mesmo quarto de dois rapazes e se apaixona por Eddy.",expl
Mas Eddy ama Stuart e eles acabam se desencontrando.,expl
"A Eufrasio Veículos, revendedora Ford, aposta no showroom sazonal e se prepara para começar a atuar em Campos do Jordão por dois meses.",expl
E como você se sente como «estrela de cinema»?,expl
"Quando se está num ambiente como o que eu vivia, você não sabe que existe todo um mundo diferente fora dali.",nsubj
"«Dobrando pelo vinco a calça jeans ou a calça de veludo, e estendendo-a sobre o carpete do quarto do hotel, ela fica como se tivesse sido passada a ferro.»",fixed
"«Trata-se de um candidato que estreou em comício sob vaias e quer, pela via do preconceito, enfraquecer quem lidera as pesquisas», disse Falcão sobre FHC.",expl
"Entre os católicos que se intitulam «não-praticantes», 94% não tomam decisão baseado nos conselhos religiosos.",expl
É mais alto do que os que se dizem ateus ou sem religião (93%).,expl
"Indagados sobre se concordavam com a posição da Igreja com relação ao uso de camisinha, 74% discordaram totalmente e 13% discordaram em parte.",mark
"A principal diferença verificada é a sensação de «frio na barriga» quando se passa pelas curvas do elevado Costa e Silva (Minhocão), mesmo em uma velocidade média de 60 km/h.",nsubj
"Geralmente procurados por estudantes adolescentes, esses serviços são abertos a qualquer interessado e têm a vantagem de ser gratuitos ou cobrar preços baixos se comparados aos de empresas de consultoria.",mark
Uma das novidades é a permissão para a polícia se infiltrar em quadrilhas para obter provas.,expl
"Mesmo abstraindo-se tudo o que a cidade representa como patrimônio cultural da humanidade, ainda assim ela resulta «parisdisíaca», adornada de todo o sortilégio.",nsubj
"O real terá que ter uma referência em relação ao dólar, segundo Amaral, que não quis dizer se o câmbio será fixo ou variável.",mark
Adoraria se vocês «engordassem» um pouco mais o Folhateen.,mark
"Mauro Silva diz que seria 'um desgosto' ir para reserva; para Zagalo, seleção de 82 venceria se jogasse como a de 94.",mark
O delegado disse que têm se tornado frequentes os linchamentos na região.,expl
"Encarregado do caso, o marfinense Rene Degni-Segui se disse favorável a um tribunal internacional para julgar os acusados.",expl
"Até o final da tarde de ontem, nenhum dos partidos da «Nova Força» havia se manifestado sobre o assunto.",expl
Mas deve-se tomar o cuidado de acabar com infiltrações na parede para que a tinta possa ser bem aproveitada e dure mais tempo.,nsubj
"No mercado, estima-se que as dívidas do grupo superam os nove bilhões de marcos.",nsubj
A crise no MG aprofundou-se no início de dezembro com o declínio nos preços internacionais do petróleo.,expl
É uma coisa a se estudar».,iobj
"Mas não o será, na prática, «se não houver determinação para vencer».",mark
"O destaque, sem dúvida, é o balé Bolshoi da Rússia, que há pelo menos cinco anos consecutivos se apresenta na cidade.",obj
"Eu tento usar o processo de edição, como se trabalha em uma mesa de edição.",nsubj
"Os testes de laboratório deram certo, e agora a empresa se prepara para comercializar essa «mini-usina tratadora de esgotos».",expl
"Pérez enfrentou duas tentativas de golpe militar e, a exemplo de Fernando Collor, acabou sofrendo impeachment por corrupção e, hoje, encontra-se numa cela à espera de julgamento.",expl
"Aprofundando as dúvidas, Leila se deixou cair na tentação do duplo.",expl
"Em São Paulo, não é necessário deslocar-se muito à procura de artigos de segunda mão.",obj
"São as mesmas pessoas que acham que sua responsabilidade social se limita a pagar impostos», diz Letícia Zioni Gomes, 16.",expl
«Deixamos claro a Havelange que a Uefa só consideraria a possibilidade de lançar um candidato se ele declinasse de sua candidatura.»,mark
"Os líderes acertaram que, havendo quorum, o Orçamento de 95 só não será votado hoje se não ficar pronta a publicação do parecer aprovado na Comissão Mista de Orçamento, acolhendo cerca de R$ 2,5 bilhões em emendas.",mark
"Ainda assim, é de se supor que existam bons agentes de polícia.",nsubj
"De 205 pacientes com suspeitas da doença, 47 revelaram-se positivas neste ano.",obj
"Para viabilizar a viagem de pelo menos parte dos 20 integrantes do coral advogados, bancários, secretárias, estudantes, aposentados e apenas um padre, a diretora diz que se uma empresa se dispuser a cobrir os custos da viagem, o coral oferece em troca a gravação de um disco promocional.",expl
No final é feita uma auditoria para ver se a auto-avaliação feita pela fábrica corresponde à realidade.,mark
"Quando vai aos EUA, ele não se limita a comprar blazers caros.",expl
O filósofo José Arthur Giannotti diz que se sente angustiado em livrarias e prefere comprar seus livros por catálogos.,expl
"De um lado, acirrou-se a reação marcadamente militante, mais diretamente identificada com as propostas político-ideológicas das esquerdas organizadas, cujas manifestações procuravam realçar o que se entendia na época por «cultura nacional e popular», rechaçando a influência «imperialista» e suas armas culturais entre as quais incluiam-se a televisão voltada para o consumo e para a «alienação», as formas artísticas «americanizadas», a cultura pop e até... a guitarra elétrica.",obj
"Ora, se o presidente chegar à posse sem que estejam no mínimo delineados, divulgados e negociados com os setores organizados da sociedade os projetos que consubstanciem tais reformas, torna-se muito mais difícil fazê-los aprovar no Congresso no prazo de um semestre definido pelo próprio FHC.",expl
"As paulistas Mancha Verde (Palmeiras) e Gaviões da Fiel (Corinthians) aceitaram, mas as cariocas se recusaram.",expl
«Chega de violência/ Quero ver é gol de placa/ Todo mundo se dá mal/ Por meia dúzia de babacas.»,expl
Trata-se de outra evidência irrefutável.,expl
"Não se fala na cobrança dos árbitros que apitam maldosamente, para prejudicar uma equipe.",nsubj
"Somando-se os dois números, chega-se a 500 toneladas/dia, aproximadamente 50% das 1.100 toneladas de poluição orgânica diária jogadas no rio.",nsubj
"Importados pela Céramus, os pisos de uso comercial (para hotéis e shopping centers) destacam-se pela grande resistência.",expl
"A situação tende a se agravar, uma vez que nenhuma das partes parece mostrar disposição de recuar.",expl
O governo recebeu ontem outra má notícia: empresários se declararam contrários ao CIP.,expl
"Não é a primeira vez, e espero não ser a última, que Fernando Henrique e esta coluna se atritam pelo mesmo motivo.",expl
"Foi quando noticiei que Fernando Henrique estava em contatos sigilosos com o governo Figueiredo, oferecendo um plano de conciliação entre o regime que se exauria e o que nasceria.",expl
O bom é que o Fernando Henrique não estava presente e não se comportou como o Maurício Corrêa.,expl
Há quem se orgulhe dos golpes que consegue imaginar e confunda artimanhas com estratégia.,expl
Futebol e política não se misturam.,expl
"Às 21h15, o tucano José Serra, recém-eleito senador, juntou-se ao casal presidencial.",expl
Arrelia se chama Valdemar e tem 87 anos.,obj
"Para Serra, se não for aprovada a emenda constitucional que desvincula dos fundos de participação dos Estados e municípios as receitas dos novos tributos, de nada adiantará o aumento de impostos.",mark
"Os acasos e interrupções misteriosas da música noturna bartokiana se fizeram, em Lutoslawski, silêncios e vibrações aleatórias da orquestra.",expl
"Segundo o médico Flávio Pozzuto, as funções neurológicas do torcedor se mantêm sem alteração ele respira com ajuda de aparelhos.",expl
"Se derrotar o candidato do PPR, Roseana se tornará a primeira governadora eleita na história do país.",expl
"Porém, se o total de junho for comparado com o mesmo mês de 93, verifica-se aumento de 28,32%.",nsubj
A Secretaria Municipal da Administração afirmou ontem que poderá rever o decreto do prefeito Paulo Maluf que proíbe a contratação de portadores de doenças com possibilidade de se tornarem incapazes no futuro.,expl
"Já passou da hora de governo, prestadores de serviços e usuários se empenharem para não só aprofundar as discussões sobre a ineficácia do sistema de saúde, como também para buscar alternativas e soluções viáveis, a fim de proporcionar um atendimento mais digno à população em geral.",expl
"Cabe perguntar: Se o Supremo não está de acordo com a suposta falta de regra das duas moedas, que existem de fato desde a emissão da última medida provisória, por que não a proclamou imediatamente inconstitucional e se serviu dela privadamente?",expl
"Como se vê, trata-se de questões altamente perturbadoras.",expl
"Assim, se você está usando uma planilha, por exemplo, pode selecionar parte (ou todo) e levar o que foi selecionado para outra planilha ou qualquer programa que estiver sendo usado.",mark
"O politicamente correto institucionalizou-se, mas nem os americanos o suportam, exceto, é claro, os eternos paroquiais.",expl
Hoje deve se encontrar com FHC.,expl
Reis não quis dizer se também abandonará Esperidião Amin.,mark
"Ontem, os bancos já se adequaram às novas regras.",expl
"De certa forma, afiou-o para a luta em que se engajaria a partir dos anos 60.",expl
