,inputs,prediction,prediction_agent,annotation,annotation_agent,multi_label,explanation,id,metadata,status,event_timestamp,metrics,search_keywords
13,"{'text': 'La Cirugía Maxilofacial así como las demás especialidades se nutre de los progresos y avances de una u otra rama de el saber , que luego es adaptada o aceptada por otras especialidades , en tal sentido el Dr. Maurice E. Muller , cirujano ortopédico , y uno de los 13 fundadores de la AO , quien ha aportado a las ciencias de la salud , a fallecido ; A continuación transcribimos la carta de información de la AO sobre su muerte : Davos , 11 de mayo , 2009 Maurice Müller .'}","[('obj', 0.30009805824342717), ('expl:pass', 0.29227614841034216), ('expl:impers', 0.24412208916786837), ('expl:pv', 0.08216062237726961), ('iobj', 0.08134308180109277)]",LogisticRegression,obj,rubrix,False,,1029,{},Validated,,{'text_length': 472},
14,"{'text': 'Debe estar expuesto a perder se , por un siniestro o riesgo , o por riesgo que corre el asegurado .'}","[('expl:pass', 0.30624362649336234), ('expl:impers', 0.2768980764504414), ('obj', 0.26106721275522493), ('expl:pv', 0.10863830849030534), ('iobj', 0.047152775810666125)]",LogisticRegression,expl:impers,rubrix,False,,1082,{},Validated,,{'text_length': 99},
15,"{'text': 'En otro respecto , permita se nos escribir a nosotros hoy : Conozco a un hombre que en el cuerpo , no fuera de el cuerpo , lo sé , y Dios también lo sabe , que ha disfrutado el privilegio hasta el día de hoy , de no haber dejado de asistir a un solo servicio o Calqueo durante los últimos catorce años que tiene de haber conocido a Jesucristo Hombre .'}","[('expl:impers', 0.2738513176225489), ('obj', 0.25703325924091824), ('iobj', 0.21269113298779757), ('expl:pass', 0.16848645533937504), ('expl:pv', 0.0879378348093603)]",LogisticRegression,expl:impers,rubrix,False,,1160,{},Validated,,{'text_length': 351},
16,"{'text': 'Eso se siente en mi nivel , que no tiene contacto directo con ella , explica .'}","[('expl:impers', 0.3125602918390704), ('expl:pass', 0.3101373237174823), ('obj', 0.3003861287273303), ('expl:pv', 0.05351442785537967), ('iobj', 0.023401827860737395)]",LogisticRegression,expl:pv,rubrix,False,,1170,{},Validated,,{'text_length': 78},
17,{'text': 'Máxime si se tratan de denuncias que apenas están siendo investigadas por la Fiscalía y que también ya fueron resuelto a lo interno .'},"[('obj', 0.31085646562745683), ('expl:pv', 0.2840774381653978), ('expl:impers', 0.19761067268887203), ('expl:pass', 0.10374292091046285), ('iobj', 0.10371250260781055)]",LogisticRegression,expl:impers,rubrix,False,,1250,{},Validated,,{'text_length': 133},
18,"{'text': '4 comentarios el El Colegio se pone de luto hola soy marlen hermana de mi querido hermano Elder gracias a todos de todo corazon por el apoyo que nos brindaron en los momentos mas dificiles , de parte mia y de su madre , hermanos sobrinos , cuñados que fuimos de guanacaste le damos MUCHAS GRACIAS por contar con sus apoyo y gracias por ser tan especial con mi hermano ya que era una persona muy luchadora hasta el final , ejemplar hijo amigo hermano siempre con sus cosas que siempre nos asi reir .'}","[('obj', 0.2856435710320094), ('expl:impers', 0.2745263922685202), ('expl:pv', 0.1956022488129611), ('expl:pass', 0.14861294599977823), ('iobj', 0.09561484188673103)]",LogisticRegression,expl:pv,rubrix,False,,1263,{},Validated,,{'text_length': 498},
19,"{'text': 'Hacer ejercicio significa organizar se mejor , clarificar tareas y establecer prioridades .'}","[('expl:impers', 0.3123649461685182), ('obj', 0.24162687933062543), ('expl:pass', 0.2303412894671827), ('expl:pv', 0.10948993482014459), ('iobj', 0.10617695021352914)]",LogisticRegression,expl:impers,rubrix,False,,1305,{},Validated,,{'text_length': 91},
20,{'text': 'Posteriormente lavar se con jabón y abundante agua .'},"[('expl:pass', 0.30412944477265674), ('expl:impers', 0.2949534881941497), ('obj', 0.20479856897907167), ('expl:pv', 0.18355123717040303), ('iobj', 0.012567260883718838)]",LogisticRegression,expl:impers,rubrix,False,,1450,{},Validated,,{'text_length': 52},
21,"{'text': 'La Buena Noticia de la existencia de un Dios que ama incondicio-nalmente y gratis , sólo puede transmitir se con amor .'}","[('iobj', 0.3019040081405722), ('expl:impers', 0.2926999774811618), ('expl:pass', 0.221331912463679), ('obj', 0.15786679317783006), ('expl:pv', 0.02619730873675695)]",LogisticRegression,expl:impers,rubrix,False,,1494,{},Validated,,{'text_length': 119},
22,"{'text': 'no tener la posibilidad de andar en un vehiculo , ni ir a la Universidad y hacer se licenciado y despues hacer una maestria .'}","[('obj', 0.3067889980774261), ('iobj', 0.2628690854285916), ('expl:impers', 0.1948736045724266), ('expl:pass', 0.13563193570921311), ('expl:pv', 0.09983637621234277)]",LogisticRegression,expl:impers,rubrix,False,,1512,{},Validated,,{'text_length': 125},
23,{'text': '¿ Puede prevenir se ?'},"[('expl:impers', 0.30960849942673513), ('iobj', 0.26972610924775586), ('expl:pass', 0.2190193682128052), ('obj', 0.14944032489200082), ('expl:pv', 0.052205698220702944)]",LogisticRegression,expl:impers,rubrix,False,,1530,{},Validated,,{'text_length': 21},
24,{'text': '# # A-f-i-l-i-a-m-e # # Twi-Chat Twitter Twitter 12 de abril de 2011 Robert Pattinson no se explica por qué arrastra esa fama que últimamente le acompaña : la de un tipo malhumorado y siempre enfadado con el mundo .'},"[('expl:impers', 0.2334641615672844), ('expl:pv', 0.23178243980745863), ('expl:pass', 0.20539743169370786), ('obj', 0.19214608551193055), ('iobj', 0.13720988141961848)]",LogisticRegression,expl:pv,rubrix,False,,1608,{},Validated,,{'text_length': 215},
25,{'text': 'Esta investigación tuvos sus frutos ya que se encontraron diversas especies desconocidas y muy raras tanto de animales como de plantas .'},"[('expl:pv', 0.3022898045257704), ('obj', 0.2884890302145778), ('iobj', 0.22465645759777697), ('expl:impers', 0.1349305753910847), ('expl:pass', 0.04963413227079016)]",LogisticRegression,expl:pass,rubrix,False,,1635,{},Validated,,{'text_length': 136},
26,"{'text': 'Añadió que , en el período 2000 - - 2012 se despejó un área de 248.573,84 m2 , destruyendo 5.729 minas antipersonal y 8 restos explosivos de guerra ; de esta manera , nuestro país ha cumplido su meta de despeje para el año 2008 - - 2012 , según lo establecido en su plan operativo .'}","[('obj', 0.31585397571473905), ('iobj', 0.20656790782819648), ('expl:impers', 0.18554680385872435), ('expl:pv', 0.15991091739302157), ('expl:pass', 0.13212039520531854)]",LogisticRegression,expl:pass,rubrix,False,,1645,{},Validated,,{'text_length': 282},
27,"{'text': 'Archivos Anuales : 2013 La estadounidense Serena Williams revalidó el título delAbierto de tenis de Estados Unidos a el derrotar en la final de el torneo a la bielorrusa Victoria Azarenka con parciales de 7-5 , 6-7 ( 6 / 8 ) , 6 .'}","[('expl:impers', 0.3116561446647544), ('obj', 0.2924933446702784), ('expl:pv', 0.28672917520942365), ('expl:pass', 0.07839612498056896), ('iobj', 0.030725210474974753)]",LogisticRegression,,,False,,1647,{},Discarded,,{'text_length': 230},
28,"{'text': 'La oferta que a mi me han hecho ( la tienes en este tema ) es con la cuota de linea , vamos que es internet 50 megas por 25€ + 14€ de la linea ( los noventa centimos no se a cual de los dos pertenece )   39,90€ + IVA durante el primer año .'}","[('expl:impers', 0.28847813702222536), ('iobj', 0.2729746241199373), ('obj', 0.21155147784408243), ('expl:pass', 0.18526609309860012), ('expl:pv', 0.041729667915154915)]",LogisticRegression,,,False,,1731,{},Discarded,,{'text_length': 240},
29,"{'text': 'Los fondos , que gestionaba el Ayuntamiento - gobernado por IU en coalición con el PSOE - , procedían de una subvención concedida por el Ministerio que si no se usaban habrían de ser devueltos .'}","[('expl:pv', 0.2973698191637374), ('expl:impers', 0.28378090345472307), ('obj', 0.27998589915889677), ('iobj', 0.1090945498663075), ('expl:pass', 0.029768828356335316)]",LogisticRegression,expl:pass,rubrix,False,,1881,{},Validated,,{'text_length': 194},
30,"{'text': 'Es un libro que no cumple con las expectativas , pero tampoco puede decir se que sea una mala lectura .'}","[('expl:impers', 0.2913026267321522), ('iobj', 0.26270179052594694), ('expl:pv', 0.19369319532539261), ('expl:pass', 0.19197490696436567), ('obj', 0.06032748045214253)]",LogisticRegression,expl:impers,rubrix,False,,1904,{},Validated,,{'text_length': 103},
31,"{'text': 'A el igual que Jesucristo en su cuaresma por el desierto , a el igual que Dioniso en su viaje a la India , a el igual que San Simón o cualquier otro anacoreta , a el igual que Sidharta cuando se retiró a el monte Gaya , a el igual que .'}","[('expl:pass', 0.3030883107496415), ('expl:impers', 0.3026826961025306), ('expl:pv', 0.20159854535094132), ('obj', 0.15611318426979426), ('iobj', 0.03651726352709231)]",LogisticRegression,expl:pv,rubrix,False,,1911,{},Validated,,{'text_length': 236},
32,{'text': 'Lo contrario es adentrar se en misterios tan impenetrables como la Santísima Trinidad .'},"[('obj', 0.3036333269318941), ('expl:impers', 0.23707138608454842), ('expl:pass', 0.2309987638598785), ('iobj', 0.19401555541097598), ('expl:pv', 0.034280967712702906)]",LogisticRegression,expl:impers,rubrix,False,,1952,{},Validated,,{'text_length': 87},
33,{'text': 'no a una correcaminos que tenga que ir escondiéndo se por las esquinas : ) .'},"[('obj', 0.30233333789642536), ('expl:pass', 0.2304955938294744), ('expl:impers', 0.22439279474433285), ('expl:pv', 0.12915148560146536), ('iobj', 0.113626787928302)]",LogisticRegression,obj,rubrix,False,,1961,{},Validated,,{'text_length': 76},
34,{'text': 'El primer Fortuna fue el velero de clase olímpica Dragón con el que D. Juan Carlos participó en los JJOO de Munich 1972 .'},"[('expl:impers', 0.28770972979854825), ('expl:pv', 0.2792959554059682), ('obj', 0.2577969022142628), ('iobj', 0.12373600391687634), ('expl:pass', 0.051461408664344455)]",LogisticRegression,,,False,,2020,{},Discarded,,{'text_length': 121},
35,"{'text': 'Puesto que no todo el mundo podía incorporar se a la guerra de guerrillas , ni tampoco había armas para todos , las masas tendrían que aprovechar su fuerza numérica .'}","[('expl:pv', 0.27648327853597726), ('iobj', 0.27571100332193843), ('obj', 0.21784796330704642), ('expl:impers', 0.18220252134654816), ('expl:pass', 0.047755233488489736)]",LogisticRegression,expl:pv,rubrix,False,,2040,{},Validated,,{'text_length': 166},
36,"{'text': 'Para explicar el desastre , las crónicas de la solidaridad normalmente se refieren a la ferocidad de el ejército .'}","[('obj', 0.2968299018715783), ('expl:pass', 0.27982322049064845), ('expl:impers', 0.27435496452023794), ('expl:pv', 0.11646980964943032), ('iobj', 0.03252210346810502)]",LogisticRegression,expl:pv,rubrix,False,,2048,{},Validated,,{'text_length': 114},
37,{'text': 'siendo menor de edad esque veo muxo con mis amigos y ellos ya lo an tenido y kisiera saber si es malo pensar en eso y debo esperar me a el matrimonio o se puede hacer antes .'},"[('expl:impers', 0.2912207440037988), ('expl:pass', 0.2880313055799893), ('iobj', 0.2086908870493516), ('obj', 0.16102926584660107), ('expl:pv', 0.051027797520259245)]",LogisticRegression,expl:impers,rubrix,False,,2074,{},Validated,,{'text_length': 174},
38,"{'text': 'En fin , seguiremos intentándo lo aquí , aunque con lo jóvenes que se estrenan ahora ¿ alguien sabe de una cárcel cómoda ?'}","[('obj', 0.2866880437953136), ('expl:impers', 0.2769612183365908), ('expl:pass', 0.2695678435096399), ('expl:pv', 0.08599815339186062), ('iobj', 0.08078474096659506)]",LogisticRegression,expl:pv,rubrix,False,,2078,{},Validated,,{'text_length': 122},
39,"{'text': '03 Trajano 25 de agosto de 2013 , 21:02 No se fie mucho de el AT .'}","[('obj', 0.29902910642779756), ('expl:impers', 0.2857976862046794), ('expl:pass', 0.20636622061507054), ('iobj', 0.13800657778080444), ('expl:pv', 0.07080040897164815)]",LogisticRegression,expl:pv,rubrix,False,,2154,{},Validated,,{'text_length': 66},
40,"{'text': 'El mundo se tiene que enterar , aunque los poderes económicos y mediáticos lo eviten , que en Andalucía está la resistencia ética a los recortes educativos .'}","[('iobj', 0.28041833178455605), ('expl:pv', 0.25964030672169225), ('expl:impers', 0.2529525407597923), ('obj', 0.1360432984563658), ('expl:pass', 0.07094552227759356)]",LogisticRegression,expl:pv,rubrix,False,,2179,{},Validated,,{'text_length': 157},
41,"{'text': 'El libro explota diversos complejos heteropatriarcales de el estilo de el tengo que arreglar lo y muchas más mierdas horribles de esas que se nos enseñan desde niñas , y que muchas nunca llegan a superar .'}","[('iobj', 0.28041833178455605), ('expl:pv', 0.25964030672169225), ('expl:impers', 0.2529525407597923), ('obj', 0.1360432984563658), ('expl:pass', 0.07094552227759356)]",LogisticRegression,expl:pass,rubrix,False,,2187,{},Validated,,{'text_length': 205},
42,{'text': 'El balón se marchó cerca de el poste derecho de el portero .'},"[('expl:impers', 0.2892881289101586), ('expl:pass', 0.2892649450286539), ('obj', 0.2734379344608994), ('expl:pv', 0.12150738722352247), ('iobj', 0.026501604376765485)]",LogisticRegression,expl:pv,rubrix,False,,2248,{},Validated,,{'text_length': 60},
43,{'text': 'En mi opinión el capitulo 20 de la tercera temporada donde todos se convierten en personajes de un videojuego de 8 bits tendría que pasar a la historia de la televisión americana .'},"[('obj', 0.28817722013946556), ('expl:pass', 0.24745902898123737), ('expl:impers', 0.18230773254428148), ('iobj', 0.17184011164400081), ('expl:pv', 0.11021590669101491)]",LogisticRegression,obj,rubrix,False,,2278,{},Validated,,{'text_length': 180},
44,"{'text': 'Sea como fuere , con esta novela se lució , me reconquistó y disfruté con él como hacía tiempo .'}","[('expl:impers', 0.2888476540734855), ('expl:pv', 0.28125146074295243), ('obj', 0.25999031723832483), ('iobj', 0.1340677739536634), ('expl:pass', 0.03584279399157386)]",LogisticRegression,expl:pv,rubrix,False,,2301,{},Validated,,{'text_length': 96},
45,"{'text': 'Tras diez años de trabajo y una infinidad de horas en el mar , Cisco Araña logró diseñar una tabla con la que Valdemir pudo convertir se en el primer surfero invidente de el mundo .'}","[('expl:impers', 0.3003316041090673), ('obj', 0.2910496927031323), ('expl:pass', 0.2676739926868727), ('expl:pv', 0.0881829486590195), ('iobj', 0.05276176184190815)]",LogisticRegression,obj,rubrix,False,,2333,{},Validated,,{'text_length': 181},
46,{'text': 'Y lo que pueden aportar no se paga ni con todo el oro de el mundo .'},"[('obj', 0.3073715108624828), ('expl:pass', 0.287638175439534), ('expl:impers', 0.2806019781199091), ('expl:pv', 0.09347527114679398), ('iobj', 0.030913064431280123)]",LogisticRegression,expl:pass,rubrix,False,,2388,{},Validated,,{'text_length': 67},
47,{'text': 'Es probable que todo el mundo ha oído hablar de el concepto aunque no todos acaban de conocer su gran influencia y lo lejos que se puede llegar sabiendo lo manejar .'},"[('expl:pass', 0.27417837008702467), ('obj', 0.2581806737840803), ('expl:pv', 0.24368934801438347), ('iobj', 0.12980617396330646), ('expl:impers', 0.09414543415120515)]",LogisticRegression,expl:impers,rubrix,False,,2461,{},Validated,,{'text_length': 165},
48,"{'text': 'En Burgos , promovemos una Jornada de Lucha el 26 de septiembre en solidaridad con la Huelga General de Euskadi y Navarra y en defensa de la necesaria convocatoria de una Huelga de ámbito estatal , en la que queremos confluir y a la que invitamos a sumar se a todo el sindicalismo y movimientos sociales combativos y contrarios a el Pacto Social .'}","[('obj', 0.2861204836592917), ('expl:impers', 0.256059732954256), ('expl:pass', 0.17911984230479125), ('iobj', 0.16622866671845), ('expl:pv', 0.11247127436321101)]",LogisticRegression,expl:impers,rubrix,False,,2484,{},Validated,,{'text_length': 347},
49,"{'text': 'Así , un estudio encargado en 2009 por el ya desaparecido Ministerio de Igualdad estableció que una de cada 10 custodias compartidas se impone sin acuerdo entre los progenitores .'}","[('iobj', 0.3031792621311964), ('expl:pv', 0.2975128721521163), ('expl:pass', 0.1804572942604593), ('obj', 0.13264617876974324), ('expl:impers', 0.08620439268648467)]",LogisticRegression,expl:pass,rubrix,False,,2487,{},Validated,,{'text_length': 179},
50,"{'text': 'Ni con 100.000 millones de euros se arregla España , es pan para hoy , pero hambre para dentro de 5 minutos .'}","[('expl:pass', 0.28037935482507853), ('obj', 0.2715519511589504), ('expl:impers', 0.25576732901657134), ('expl:pv', 0.19091211392122212), ('iobj', 0.001389251078177605)]",LogisticRegression,expl:pv,rubrix,False,,2570,{},Validated,,{'text_length': 109},
51,{'text': 'Mi hermano y socio busco soluciones pero nada dio resultado hasta que le recomendaron comunicar se con unas personas por Internet .'},"[('expl:impers', 0.30495950503158675), ('expl:pass', 0.2510957734967721), ('obj', 0.2363892657035414), ('iobj', 0.1899223600309267), ('expl:pv', 0.017633095737173015)]",LogisticRegression,obj,rubrix,False,,2643,{},Validated,,{'text_length': 131},
52,"{'text': 'Y se trata de una deuda que , de no mediar mi determinación de escribir este artículo , quedaría por siempre sin saldar .'}","[('expl:pass', 0.29808289066766874), ('obj', 0.27034691419122664), ('expl:pv', 0.2627049181360315), ('expl:impers', 0.16626860399978471), ('iobj', 0.0025966730052884393)]",LogisticRegression,expl:impers,rubrix,False,,2721,{},Validated,,{'text_length': 121},
53,"{'text': 'Muy a pesar nuestro , admitimos que debía pedir se ayuda .'}","[('expl:pass', 0.29808289066766874), ('obj', 0.27034691419122664), ('expl:pv', 0.2627049181360315), ('expl:impers', 0.16626860399978471), ('iobj', 0.0025966730052884393)]",LogisticRegression,expl:impers,rubrix,False,,2724,{},Validated,,{'text_length': 58},
54,{'text': '- - ¿ No le dije que se fuera ?'},"[('iobj', 0.2941838341951429), ('expl:pass', 0.24649543334793853), ('expl:impers', 0.20672854926810152), ('expl:pv', 0.16693436192315017), ('obj', 0.0856578212656668)]",LogisticRegression,expl:pv,rubrix,False,,2737,{},Validated,,{'text_length': 31},
55,"{'text': 'Cuando decidió hacer se sacerdote , recibió la visita de el rector de uno de los seminarios clandestinos de su país .'}","[('obj', 0.3017587009713735), ('iobj', 0.28995853084709355), ('expl:impers', 0.22856951172951803), ('expl:pass', 0.11391513018404462), ('expl:pv', 0.06579812626797026)]",LogisticRegression,expl:pv,rubrix,False,,2874,{},Validated,,{'text_length': 117},
56,"{'text': 'Es decir , ¿ podrá una estrategia diferente aparecer y propagar se ?'}","[('expl:pv', 0.30238946827648394), ('obj', 0.2811310869739718), ('expl:impers', 0.26561175632462974), ('expl:pass', 0.13071102850941788), ('iobj', 0.020156659915496658)]",LogisticRegression,expl:pv,rubrix,False,,2898,{},Validated,,{'text_length': 68},
57,{'text': 'se que las mismas visitantes serán mi mejor ayuda .'},"[('iobj', 0.2813296389908932), ('expl:impers', 0.2742990705712756), ('obj', 0.18349403572200484), ('expl:pass', 0.1618811669973394), ('expl:pv', 0.09899608771848693)]",LogisticRegression,,,False,,2962,{},Discarded,,{'text_length': 51},
58,"{'text': ""Gracias , se que la ayuda de los visitantes es mucho mejor y mas eficiente que cualquier cosa para combatir estas ' celosas rastreras ' ( como las llaman arriba ) .""}","[('obj', 0.2720376081475657), ('expl:impers', 0.2649563629602966), ('expl:pv', 0.25984281956733346), ('iobj', 0.17382979277979285), ('expl:pass', 0.029333416545011277)]",LogisticRegression,,,False,,2970,{},Discarded,,{'text_length': 164},
59,"{'text': 'Señor Salvador , co mo se nota que usted es periodista y no cocinero .'}","[('obj', 0.3164406735459488), ('expl:pass', 0.3052144391122622), ('expl:impers', 0.2621155309762852), ('iobj', 0.06394684083356028), ('expl:pv', 0.05228251553194341)]",LogisticRegression,expl:impers,rubrix,False,,3027,{},Validated,,{'text_length': 70},
60,"{'text': 'Los remeros se distribuían de el siguiente modo : en el banco superior había 62 thranites ; en el banco intermedio , 54 zeugites ; y en el banco inferior , 54 thalamites .'}","[('expl:pass', 0.2604588867021193), ('expl:impers', 0.22559381711490023), ('obj', 0.19671172759211178), ('iobj', 0.162098012749335), ('expl:pv', 0.15513755584153371)]",LogisticRegression,expl:pv,rubrix,False,,3168,{},Validated,,{'text_length': 171},
61,"{'text': 'Así , los gobiernos durante la expansión económica de postguerra ( de la II Guerra Mundial , por supuesto ) se marcaron como objetivo la consecución de el pleno empleo .'}","[('expl:impers', 0.30283656961122046), ('iobj', 0.3025873402800593), ('expl:pv', 0.1742401924648318), ('obj', 0.11257659942363546), ('expl:pass', 0.10775929822025311)]",LogisticRegression,iobj,rubrix,False,,3210,{},Validated,,{'text_length': 169},
62,"{'text': 'Un buen gestor de cuentas debería llevar un control sobre las tareas realizadas y a realizar y lo más importante , adaptar se a las necesidades de la campaña .'}","[('expl:impers', 0.2924436806420007), ('expl:pass', 0.2860302555887088), ('obj', 0.23930303909086711), ('iobj', 0.11336328856964586), ('expl:pv', 0.06885973610877744)]",LogisticRegression,expl:pv,rubrix,False,,3250,{},Validated,,{'text_length': 159},
63,"{'text': 'Respecto a tu estilo , se ha dicho que tienes puntos en común con David B. , Chris Ware , Seth , Sfar , Max o Blain .'}","[('iobj', 0.3019303413310474), ('expl:pass', 0.2909003727307476), ('expl:impers', 0.21832223404214746), ('obj', 0.14272529086135158), ('expl:pv', 0.046121761034706055)]",LogisticRegression,expl:impers,rubrix,False,,3252,{},Validated,,{'text_length': 117},
64,{'text': 'Como podemos observar en el video la diferencia de educación actual y la educación tradicional ha tenido cambios pero esos cambios se deben aplicar en la escuela primaria y la secundaria .'},"[('expl:impers', 0.28748390533543783), ('obj', 0.26346833877061787), ('iobj', 0.22795874068208272), ('expl:pass', 0.18047560630108891), ('expl:pv', 0.04061340891077271)]",LogisticRegression,expl:pv,rubrix,False,,3403,{},Validated,,{'text_length': 188},
65,"{'text': 'Qué se siente cuando tras no haber tenido nada , Ud .'}","[('expl:impers', 0.32114917068035054), ('obj', 0.2711733270030634), ('expl:pv', 0.21841129529983105), ('expl:pass', 0.14321694049689185), ('iobj', 0.04604926651986309)]",LogisticRegression,expl:pv,rubrix,False,,3421,{},Validated,,{'text_length': 53},
66,"{'text': 'No obstante , el premio sí puede considerar se sin miedo como No-Keynesiano .'}","[('expl:impers', 0.2910118209636088), ('obj', 0.28088623560385284), ('expl:pass', 0.2696227622005594), ('expl:pv', 0.15176313781082096), ('iobj', 0.006716043421158022)]",LogisticRegression,expl:impers,rubrix,False,,3481,{},Validated,,{'text_length': 77},
67,{'text': 'Tu cuerpo y tu alma se sentarán en postes separados mascando el mismo chicle .'},"[('expl:impers', 0.29427270799329536), ('obj', 0.24902581602236967), ('expl:pass', 0.23498830740634158), ('expl:pv', 0.22095837358149265), ('iobj', 0.0007547949965008358)]",LogisticRegression,expl:pv,rubrix,False,,3592,{},Validated,,{'text_length': 78},
68,"{'text': 'Enojo , ira y mal humor Como el tema financiero lo acosa todo el tiempo , se pone de mal humor .'}","[('expl:impers', 0.3172802301636495), ('obj', 0.30550323769309873), ('expl:pass', 0.2872855745640233), ('expl:pv', 0.06850876556866661), ('iobj', 0.021422192010561752)]",LogisticRegression,obj,rubrix,False,,3625,{},Validated,,{'text_length': 96},
69,"{'text': 'Según la Secretaría de Salud ( SSa ) , cada año se registran 13 mil 648 casos de CaMa .'}","[('expl:pass', 0.30624197963503635), ('obj', 0.3032092346374305), ('expl:impers', 0.2990710688986159), ('expl:pv', 0.04673641873044546), ('iobj', 0.04474129809847181)]",LogisticRegression,expl:pass,rubrix,False,,3723,{},Validated,,{'text_length': 87},
